a_target,a_pred,mt,cs,E1,E2,E3,L1,L2,L3,seed,loss,a_group
0.0020000000949949026,0.002005012007430196,10,0.840462327003479,14.832378387451172,9.832660675048828,7.332633018493652,10.0,10.0,10.0,42,5.011912435293198e-06,0.002
0.0024999999441206455,0.0024954122491180897,10,0.8,14.774213790893555,9.774466514587402,7.274417877197266,10.0,10.0,10.0,42,4.587695002555847e-06,0.0025
0.003000000026077032,0.0030188520904630423,10,0.7344599962234497,14.731260299682617,9.731504440307617,7.2313947677612305,10.0,10.0,10.0,42,1.885206438601017e-05,0.003
0.0020000000949949026,0.001991381635889411,20,1.0207539796829224,15.008536338806152,10.008813858032227,7.508695602416992,10.0,10.0,10.0,42,8.618459105491638e-06,0.002
0.0024999999441206455,0.0024918541312217712,20,0.97,14.94654655456543,9.946849822998047,7.44667911529541,10.0,10.0,10.0,42,8.145812898874283e-06,0.0025
0.003000000026077032,0.0029896562919020653,20,0.905234694480896,14.893569946289062,9.893974304199219,7.393670082092285,10.0,10.0,10.0,42,1.0343734174966812e-05,0.003
0.0020000000949949026,0.001998912775889039,30,1.2104954719543457,15.193206787109375,10.193446159362793,7.69324254989624,10.0,10.0,10.0,42,1.0873191058635712e-06,0.002
0.0024999999441206455,0.0024885504972189665,30,1.1468234062194824,15.128334045410156,10.128705024719238,7.6283698081970215,10.0,10.0,10.0,42,1.1449446901679039e-05,0.0025
0.003000000026077032,0.0029984000138938427,30,1.092419981956482,15.075825691223145,10.076155662536621,7.575787544250488,10.0,10.0,10.0,42,1.600012183189392e-06,0.003
0.0020000000949949026,0.0019918535836040974,40,1.4291348457336426,15.422054290771484,10.421982765197754,7.922190189361572,10.0,10.0,10.0,42,8.146511390805244e-06,0.002
0.0024999999441206455,0.002511535305529833,40,1.33,15.338107109069824,10.338225364685059,7.838138580322266,10.0,10.0,10.0,42,1.1535361409187317e-05,0.0025
0.003000000026077032,0.002963775536045432,40,1.33,15.282674789428711,10.282925605773926,7.782623767852783,10.0,10.0,10.0,42,3.62244900316e-05,0.003
0.0020000000949949026,0.001997448271140456,50,1.6702136993408203,15.720227241516113,10.718924522399902,8.221176147460938,9.240696907043457,10.75668716430664,10.763655662536621,42,2.551823854446411e-06,0.002
0.0024999999441206455,0.0024781525135040283,50,1.586244821548462,15.610512733459473,10.609722137451172,8.111148834228516,9.364497184753418,10.633566856384277,10.638347625732422,42,2.1847430616617203e-05,0.0025
0.003000000026077032,0.0029937922954559326,50,1.518987774848938,15.527833938598633,10.527364730834961,8.028241157531738,9.456808090209961,10.54187297821045,10.54494857788086,42,6.207730621099472e-06,0.003
0.0020000000949949026,0.0020034152548760176,60,1.9466675519943237,16.1296443939209,11.125480651855469,8.632737159729004,8.740617752075195,11.226353645324707,11.273765563964844,42,3.4151598811149597e-06,0.002
0.0024999999441206455,0.0024905435275286436,60,1.842299222946167,15.962065696716309,10.959044456481934,8.464353561401367,8.942649841308594,11.036853790283203,11.068150520324707,42,9.456416592001915e-06,0.0025
0.003000000026077032,0.003001636127009988,60,1.7616512775421143,15.843011856079102,10.840777397155762,8.344741821289062,9.084968566894531,10.902164459228516,10.9234037399292,42,1.6361009329557419e-06,0.003
0.0020000000949949026,0.001997434999793768,70,1.9976412057876587,18.8864803314209,13.859542846679688,11.404189109802246,5.253949165344238,14.089362144470215,14.815410614013672,42,2.5650952011346817e-06,0.002
0.0024999999441206455,0.0025015491992235184,70,1.9979032278060913,17.62622833251953,12.609567642211914,10.137907981872559,6.836565971374512,12.879403114318848,13.21608829498291,42,1.5492551028728485e-06,0.0025
0.003000000026077032,0.003006220329552889,70,1.9956750869750977,16.60401725769043,11.595727920532227,9.110102653503418,8.121672630310059,11.791813850402832,11.909627914428711,42,6.220303475856781e-06,0.003
0.0020000000949949026,0.0020021286327391863,80,1.9978625774383545,22.06420135498047,17.007768630981445,14.596473693847656,1.0606051683425903,16.72341537475586,19.041635513305664,42,2.128537744283676e-06,0.002
0.0024999999441206455,0.0024952308740466833,80,1.9972530603408813,20.70540428161621,15.661274909973145,13.231637001037598,2.836395263671875,15.790029525756836,17.265548706054688,42,4.769070073962212e-06,0.0025
0.003000000026077032,0.0029973469208925962,80,1.9982692003250122,19.603816986083984,14.569406509399414,12.125088691711426,4.2560529708862305,14.894370079040527,15.838998794555664,42,2.6531051844358444e-06,0.003
0.0020000000949949026,0.0020002888049930334,90,1.9998199939727783,25.766250610351562,20.673900604248047,18.312789916992188,0.0002655904972925782,18.95383071899414,24.15917205810547,42,2.8870999813079834e-07,0.002
0.0024999999441206455,0.0024989054072648287,90,1.9981882572174072,23.932090759277344,18.85763168334961,16.470083236694336,0.002463150303810835,18.163280487060547,21.62826156616211,42,1.0945368558168411e-06,0.0025
0.003000000026077032,0.0030060275457799435,90,1.997941017150879,22.54673194885254,17.485424041748047,15.078413963317871,0.3627181947231293,17.403261184692383,19.766252517700195,42,6.027519702911377e-06,0.003
0.0020000000949949026,0.0020105286967009306,100,2.0,29.74317169189453,24.612140655517578,22.303876876831055,0.0,20.565471649169922,30.0,42,1.0528601706027985e-05,0.002
0.0024999999441206455,0.0024973407853394747,100,1.9989811182022095,27.65941047668457,22.54922103881836,20.208641052246094,0.001362557988613844,20.26714515686035,26.933856964111328,42,2.659158781170845e-06,0.0025
0.003000000026077032,0.002997056348249316,100,1.9998177289962769,26.00327491760254,20.90958595275879,18.54439353942871,0.0002956811513286084,19.722280502319336,24.55164909362793,42,2.9436778277158737e-06,0.003
