a_target,a_pred,mt,cs,E1,E2,E3,L1,L2,L3,seed,loss
0.0020000000949949026,0.002005012007430196,10,0.840462327003479,14.832378387451172,9.832660675048828,7.332633018493652,10.0,10.0,10.0,42,5.011912435293198e-06
0.0020000000949949026,0.002005012007430196,10,0.840462327003479,14.832378387451172,9.832660675048828,7.332633018493652,10.0,10.0,10.0,123,5.011912435293198e-06
0.0020000000949949026,0.002005012007430196,10,0.840462327003479,14.832378387451172,9.832660675048828,7.332633018493652,10.0,10.0,10.0,888,5.011912435293198e-06
0.002099999925121665,0.0021127115469425917,10,0.8,14.819818496704102,9.820091247558594,7.320046901702881,10.0,10.0,10.0,42,1.2711621820926666e-05
0.002099999925121665,0.0021127115469425917,10,0.8,14.819818496704102,9.820091247558594,7.320046901702881,10.0,10.0,10.0,123,1.2711621820926666e-05
0.002099999925121665,0.0021127115469425917,10,0.8,14.819818496704102,9.820091247558594,7.320046901702881,10.0,10.0,10.0,888,1.2711621820926666e-05
0.002199999988079071,0.0022039832547307014,10,0.8,14.809467315673828,9.809728622436523,7.309700012207031,10.0,10.0,10.0,42,3.983266651630402e-06
0.002199999988079071,0.0022039832547307014,10,0.8,14.809467315673828,9.809728622436523,7.309700012207031,10.0,10.0,10.0,123,3.983266651630402e-06
0.002199999988079071,0.0022039832547307014,10,0.8,14.809467315673828,9.809728622436523,7.309700012207031,10.0,10.0,10.0,888,3.983266651630402e-06
0.002300000051036477,0.00229918141849339,10,0.8,14.79719066619873,9.797429084777832,7.297420501708984,10.0,10.0,10.0,42,8.186325430870056e-07
0.002300000051036477,0.00229918141849339,10,0.8,14.79719066619873,9.797429084777832,7.297420501708984,10.0,10.0,10.0,123,8.186325430870056e-07
0.002300000051036477,0.00229918141849339,10,0.8,14.79719066619873,9.797429084777832,7.297420501708984,10.0,10.0,10.0,888,8.186325430870056e-07
0.002400000113993883,0.002406819025054574,10,0.8,14.786998748779297,9.787283897399902,7.287242412567139,10.0,10.0,10.0,42,6.81891106069088e-06
0.002400000113993883,0.002406819025054574,10,0.8,14.786998748779297,9.787283897399902,7.287242412567139,10.0,10.0,10.0,123,6.81891106069088e-06
0.002400000113993883,0.002406819025054574,10,0.8,14.786998748779297,9.787283897399902,7.287242412567139,10.0,10.0,10.0,888,6.81891106069088e-06
0.0020000000949949026,0.001991381635889411,20,1.0207539796829224,15.008536338806152,10.008813858032227,7.508695602416992,10.0,10.0,10.0,42,8.618459105491638e-06
0.0020000000949949026,0.001991381635889411,20,1.0207539796829224,15.008536338806152,10.008813858032227,7.508695602416992,10.0,10.0,10.0,123,8.618459105491638e-06
0.0020000000949949026,0.001991381635889411,20,1.0207539796829224,15.008536338806152,10.008813858032227,7.508695602416992,10.0,10.0,10.0,888,8.618459105491638e-06
0.002099999925121665,0.0020958450622856617,20,0.97,14.995631217956543,9.995862007141113,7.495762348175049,10.0,10.0,10.0,42,4.1548628360033035e-06
0.002099999925121665,0.0020958450622856617,20,0.97,14.995631217956543,9.995862007141113,7.495762348175049,10.0,10.0,10.0,123,4.1548628360033035e-06
0.002099999925121665,0.0020958450622856617,20,0.97,14.995631217956543,9.995862007141113,7.495762348175049,10.0,10.0,10.0,888,4.1548628360033035e-06
0.002199999988079071,0.0021944635082036257,20,0.97,14.979593276977539,9.979823112487793,7.479730606079102,10.0,10.0,10.0,42,5.536479875445366e-06
0.002199999988079071,0.0021944635082036257,20,0.97,14.979593276977539,9.979823112487793,7.479730606079102,10.0,10.0,10.0,123,5.536479875445366e-06
0.002199999988079071,0.0021944635082036257,20,0.97,14.979593276977539,9.979823112487793,7.479730606079102,10.0,10.0,10.0,888,5.536479875445366e-06
0.002300000051036477,0.0023127561435103416,20,0.97,14.966095924377441,9.96634292602539,7.466220855712891,10.0,10.0,10.0,42,1.2756092473864555e-05
0.002300000051036477,0.0023127561435103416,20,0.97,14.966095924377441,9.96634292602539,7.466220855712891,10.0,10.0,10.0,123,1.2756092473864555e-05
0.002300000051036477,0.0023127561435103416,20,0.97,14.966095924377441,9.96634292602539,7.466220855712891,10.0,10.0,10.0,888,1.2756092473864555e-05
0.002400000113993883,0.0023738129530102015,20,0.97,14.95880126953125,9.959097862243652,7.458954811096191,10.0,10.0,10.0,42,2.618716098368168e-05
0.002400000113993883,0.0023738129530102015,20,0.97,14.95880126953125,9.959097862243652,7.458954811096191,10.0,10.0,10.0,123,2.618716098368168e-05
0.002400000113993883,0.0023738129530102015,20,0.97,14.95880126953125,9.959097862243652,7.458954811096191,10.0,10.0,10.0,888,2.618716098368168e-05
0.0020000000949949026,0.001998912775889039,30,1.2104954719543457,15.193206787109375,10.193446159362793,7.69324254989624,10.0,10.0,10.0,42,1.0873191058635712e-06
0.0020000000949949026,0.001998912775889039,30,1.2104954719543457,15.193206787109375,10.193446159362793,7.69324254989624,10.0,10.0,10.0,123,1.0873191058635712e-06
0.0020000000949949026,0.001998912775889039,30,1.2104954719543457,15.193206787109375,10.193446159362793,7.69324254989624,10.0,10.0,10.0,888,1.0873191058635712e-06
0.002099999925121665,0.0020930373575538397,30,1.1996358633041382,15.180533409118652,10.180830955505371,7.68060827255249,10.0,10.0,10.0,42,6.962567567825317e-06
0.002099999925121665,0.0020930373575538397,30,1.1996358633041382,15.180533409118652,10.180830955505371,7.68060827255249,10.0,10.0,10.0,123,6.962567567825317e-06
0.002099999925121665,0.0020930373575538397,30,1.1996358633041382,15.180533409118652,10.180830955505371,7.68060827255249,10.0,10.0,10.0,888,6.962567567825317e-06
