% Model:              16-12-8--150%--10-10-10.mph
% Version:            COMSOL 6.1.0.252
% Date:               Sep 6 2024, 16:36
% Dimension:          3
% Nodes:              217
% Expressions:        4
% Description:        线
% x                       y                        z                        磁标势                      u                        v                        w
2.266674663898396         0.004865255053903972     0.10918495916880082      4774.8745859763885       0.04445244167617437      0.004865255053903972     0.10918495916880082
2.407966815954344         0.004806116376100672     0.12409212289211748      4774.924104272799        0.04685570484323328      0.004806116376100672     0.12409212289211748
2.549132081144943         0.004747778970539757     0.13988851514122835      4774.969700481553        0.04913208114494303      0.004747778970539757     0.13988851514122835
2.6901704594701923        0.004690242837221229     0.15657413591613342      4775.011374602648        0.0512815705813036       0.004690242837221228     0.1565741359161334
2.8310819509300926        0.004633507976145085     0.17414898521683264      4775.049126636087        0.053304173152315        0.004633507976145085     0.17414898521683264
2.9718665555246435        0.004577574387311326     0.1926130630433261       4775.082956581867        0.055199888857977226     0.004577574387311326     0.1926130630433261
3.112524273253846         0.004522442070719953     0.21196636939561372      4775.11286443999         0.05696871769829027      0.004522442070719953     0.21196636939561372
3.2530551041176987        0.004468111026370966     0.23220890427369556      4775.138850210455        0.05861065967325415      0.004468111026370966     0.23220890427369556
3.3934590481162026        0.004414581254264363     0.2533406676775716       4775.160913893262        0.06012571478286885      0.004414581254264363     0.2533406676775716
8.841658263111201         0.0017224716507331804    1.753335210382242        4775.408538278177        -0.04723062577768758     0.0017224716507331804    1.753335210382242
8.972955114465256         0.0016458953691768658    1.8052606196119412       4775.411051563513        -0.05482266331252203     0.0016458953691768658    1.8052606196119405
9.103989025643848         0.0015905940608015633    1.857815576153736        4775.413154906348        -0.0626776410228195      0.0015905940608015633    1.857815576153736
9.234759996646977         0.0015565677256072726    1.911000080007628        4775.414848306682        -0.07079555890857997     0.0015565677256072726    1.9110000800076279
9.365268027474642         0.001543816363593994     1.9648141311736163       4775.416131764514        -0.07917641696980346     0.001543816363593994     1.9648141311736163
9.495513118126846         0.0015523399747617277    2.0192577296517014       4775.4170052798445       -0.08782021520648994     0.0015523399747617275    2.019257729651701
9.625495268603583         0.001582138559110473     2.074330875441883        4775.417468852674        -0.09672695361863944     0.001582138559110473     2.074330875441883
9.755214478904858         0.0016332121166402307    2.130033568544161        4775.417522483002        -0.10589663220625194     0.0016332121166402307    2.130033568544161
9.884670749030672         0.0017055606473510001    2.186365808958536        4775.417166170829        -0.11532925096932745     0.0017055606473510001    2.186365808958536
3.53363796094861          0.00437464766905994      0.2754914877655278       4775.169010970651        0.06141573872638737      0.00437464766905994      0.2754914877655278
3.6736520545748936        0.004328336428846562     0.298478490960979        4775.17556995681         0.06254094346378247      0.004328336428846562     0.298478490960979
3.8135013289950543        0.004275647533624232     0.32230167726392506      4775.180590851739        0.06350132899505417      0.004275647533624232     0.32230167726392506
3.9531857842090914        0.004216580983392947     0.3469610466743661       4775.184073655438        0.06429689532020245      0.004216580983392947     0.3469610466743661
4.092705420217006         0.004151136778152709     0.3724565991923021       4775.186018367906        0.06492764243922731      0.004151136778152709     0.3724565991923021
4.232060237018795         0.004079314917903516     0.39878833481773307      4775.186424989145        0.06539357035212878      0.004079314917903517     0.39878833481773307
4.371250234614463         0.00400111540264537      0.42595625355065897      4775.185293519154        0.06569467905890683      0.00400111540264537      0.42595625355065897
4.510275413004006         0.00391653823237827      0.45396035539107976      4775.182623957932        0.06583096855956147      0.00391653823237827      0.45396035539107976
4.649048442883534         0.003859050659551126     0.4829387294422646       4775.205602950211        0.0657151095502011       0.003859050659551126     0.4829387294422646
4.787624375837598         0.0037990120697651854    0.5126971355798335       4775.227177609874        0.06540215361537478      0.0037990120697651854    0.5126971355798335
4.926003211866193         0.0037364224630204476    0.5432355738037868       4775.247347936921        0.06489210075508257      0.0037364224630204476    0.5432355738037868
5.064184950969325         0.003671281839316913     0.5745540441141241       4775.266113931352        0.06418495096932442      0.003671281839316913     0.5745540441141241
5.202169593146989         0.0036035901986545805    0.6066525465108458       4775.283475593168        0.06328070425810034      0.0036035901986545805    0.6066525465108458
5.339957138399188         0.0035333475410334516    0.6395310809939514       4775.299432922368        0.06217936062141034      0.0035333475410334516    0.6395310809939514
5.477547586725922         0.0034605538664535247    0.6731896475634412       4775.313985918953        0.06088092005925441      0.0034605538664535247    0.6731896475634412
5.614940938127188         0.0033852091749148015    0.7076282462193154       4775.327134582922        0.05938538257163256      0.0033852091749148015    0.7076282462193154
7.7818041626669405        0.0023421350686409874    1.3606072029010718       4775.290131469289        0.004026384889160211     0.0023421350686409874    1.3606072029010718
7.915162625998427         0.002266694567191897     1.4074081704892152       4775.310670591596        -0.0015040406682430526   0.002266694567191897     1.4074081704892152
8.048270603393926         0.002190677658374411     1.4548634333193593       4775.329570207846        -0.007284952161632804    0.002190677658374411     1.4548634333193593
8.181128094853436         0.0021140843421885284    1.5029729913915042       4775.346830318042        -0.013316349591009044    0.0021140843421885284    1.5029729913915042
8.313735100376963         0.0020369146186342505    1.55173684470565         4775.36245092218         -0.019598232956371774    0.0020369146186342505    1.55173684470565
8.446091619964502         0.0019591684877115767    1.6011549932617966       4775.376432020263        -0.02613060225772099     0.0019591684877115767    1.6011549932617968
8.578197653616057         0.001880845949420507     1.6512274370599442       4775.388773612291        -0.0329134574950567      0.001880845949420507     1.6512274370599442
8.710053201331622         0.0018019470037610417    1.7019541761000927       4775.399475698261        -0.03994679866837889     0.0018019470037610417    1.7019541761000927
5.752080872349306         0.003322502479466282     0.7429885233876653       4775.326437874861        0.057636427904861655     0.003322502479466282     0.7429885233876653
